category,frequency,canonical_label
sartoria e confezioni per signorа,1,tailor
rappresentante macchinari,1,machinery representative
lavandera e stireira,1,laundry services
S. Maria delle Penitenti,1,religious institution
S. Lodo. vico (S. Alvise),1,GARBAGE
Agenzia Marittima e casa di spedizioni,1,shipping agency
fabbro ferraro e meccanico,1,blacksmith and mechanic
casa di cura fdm.,1,medical institution
ceramica,1,ceramics
I.Q prof. titol. un. post,1,GARBAGE
Stole e tessuti,1,fabrics and textiles
"s. 8. a r. 1., lavori manovalanza",1,GARBAGE
Fabbrica Acque Gassate,1,beverage factory
autoligenzio e straflutione sa,1,GARBAGE
tabachcheria,1,tobacco shop
"Ispez., di Ia Cl. Sicz. Larovici di Venezia, Ferrovec dello Stato, Direzione S. Luca",1,government inspection
Lavoro (ANPI),1,labor organization
carta da parati ed affini,1,wallpaper and related
iucoperi navali,1,naval supplies
lavandoria e steria,1,laundry services
orefacreia,1,jewelry store
Ispettore Capo l'Uffcio visite,1,government inspector
rappresentante generale alimentari,1,food representative
Specialista,1,specialist
Capo Gruppo Regionale,1,GARBAGE
Negoziante,1,merchant
botigli°eria,1,wine shop
autoriparatori,1,auto repair
Pres. della Soc,1,government/civic institution
(ANPI),1,government/civic institution
Fiori piante e sementi,1,flowers and plants
Costruzioni mercante,1,construction trade
Mosaici Articoli Gres Industriali Ceramiche Aprile Lavorate,1,ceramics and mosaics
Stazione A.,1,transportation station
dirett. uff. distrett. delle Imposte Dirette,1,government/civic institution
AFFITTI-APPARTAMENTI CASE,1,ADVERTISEMENT
impresa edile e appalti vari,1,construction trade
"Vini (grossista), liquori (fabbrica & deposito)",1,wine and liquor wholesale
Ritocchi artistici - Lavori industriali - Reparto eliocinografico - vendita materiale fotocenematicografico,1,ADVERTISEMENT
INSETTICIDI,1,pesticides
trasporti,1,transportation
Empoilo Materiale Elettfi.,1,electrical materials
Economo Accademia di Belle Arti e Liceo Arti,1,educational institution
ristor ante,1,restaurant
"t. r. I., per la gestione del caffè: Alpolco, caffè (esercizi)",1,ADVERTISEMENT
S. A. Ricomimenti Alveraggo aux Verenti autorimoti,1,ADVERTISEMENT
cas erni animali,1,animal care
Fabbrica S. Baseggio 1124,1,manufacturing
Geludio Civile,1,civil service
eralta (torrefazione),1,coffee roasting
gioiellera (rivendita),1,jewelry retail
S. Marco numero 1321,1,ADVERTISEMENT
Uflicio Stampa Cabineto di Prefettura,1,government/civic institution
pali in cemento armato,1,construction trade
osterica,1,restaurant
"autotrasporti, carbone e legnami",1,transportation
Ponte dell’ Olivo,1,GARBAGE
cement con- truction e mandauti di calce,1,construction trade
Ruga Giuffa,1,GARBAGE
osteitrico,1,medical profession
elettricita idraulica e gas,1,utilities
parrucchiera per signora,1,hairdresser
Capo Divisione 2-na,1,GARBAGE
disegnatore,1,designer
decoratore o pittore,1,decorator
Ass. Supattiva Venziana e C. Reper D.,1,ADVERTISEMENT
Forniture complete mobili e accessori per ufficio,1,furniture supplier
PAVIMENTAZIONE RIVESTIMENTI MUSIVI VETROSI,1,ADVERTISEMENT
Veterinario,1,veterinary profession
Forniture,1,ADVERTISEMENT
numero 4514,1,GARBAGE
SCHEDARI - MOBILI PER UFFICI - MACCHINE CONTABILI MACCHINE PER SCRIVERE DUPLICATORI - ACCESSORI,1,office supplies
Radio,1,ADVERTISEMENT
cralrature,1,GARBAGE
